,B cell,DC1,DC2,EI macrophage,Early Erythroid,Early lymphoid/T lymphocyte,Endothelial cell,Fibroblast,HSC/MPP,Hepatocyte,ILC progenitor,Kupffer Cell,Late Erythroid,MEMP,Mast cell,Megakaryocyte,Mid  Erythroid,Mono-Mac,Mono-NK,Monocyte,Monocyte-DC precursor,NK,Neutrophil-myeloid progenitor,Pre pro B cell,VCAM1+ EI macrophage,pDC precursor,pre-B cell,pro-B cell
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0
3,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,720,0,0,0,0,0,0,0,0,13,0,4,67,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
6,0,0,0,0,0,0,225,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,180,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,1075,0,0,0,0,1,4,0,0,0,0,0,0,7,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,10,0,2,0,7,0,0,0,0,57,0,3,5,0,0,0,0,0,4,0,0,0,0,0
14,0,0,0,0,4,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,272,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,4,77,0,1,1,0,0,0,0,4,0,0,0,2458,1,0,0,1,0,0,0,3,0,3,0
17,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,168,0,0,0,0,0,0,1,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
19,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,98,1,0,0,0,0,0,0,0
20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,69,0,0,0,0,0,0,0
21,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,333,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,68,1,0,0,0,0
23,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,4,1
24,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,151,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0
26,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,79,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,73
